ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
IND,"Bihar, inc Jharkhand",1086603,Children with mild anemia,29.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413013,1413130,Region,"Bihar, inc Jharkhand",0,,0,1,CNANMCCMLD,IADHS2006413013,2005-06,DHS,6620,3152,,,
IND,Bihar,3146548,Children with mild anemia,29.6,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413014,1413140,Region,..Bihar,0,,0,1,CNANMCCMLD,IADHS2006413014,2005-06,DHS,5204,1880,,,1
IND,Jharkhand,7233774,Children with mild anemia,29.3,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413015,1413150,Region,..Jharkhand,0,,0,1,CNANMCCMLD,IADHS2006413015,2005-06,DHS,1416,1272,,,1
IND,Odisha,3129972,Children with mild anemia,28.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413016,1413160,Region,Odisha,0,,0,1,CNANMCCMLD,IADHS2006413016,2005-06,DHS,1563,1393,,,1
IND,West Bengal,204090,Children with mild anemia,30,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413017,1413170,Region,West Bengal,0,,0,1,CNANMCCMLD,IADHS2006413017,2005-06,DHS,3352,1851,,,1
IND,Arunachal Pradesh,876867,Children with mild anemia,27.1,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413018,1413180,Region,Arunachal Pradesh,0,,0,1,CNANMCCMLD,IADHS2006413018,2005-06,DHS,56,722,,,1
IND,Assam,6480140,Children with mild anemia,28.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413019,1413190,Region,Assam,0,,0,1,CNANMCCMLD,IADHS2006413019,2005-06,DHS,1061,1129,,,1
IND,Manipur,7519687,Children with mild anemia,25.6,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413020,1413200,Region,Manipur,0,,0,1,CNANMCCMLD,IADHS2006413020,2005-06,DHS,92,1474,,,1
IND,Meghalaya,6001178,Children with mild anemia,31.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413021,1413210,Region,Meghalaya,0,,0,1,CNANMCCMLD,IADHS2006413021,2005-06,DHS,122,748,,,1
IND,Mizoram,7291728,Children with mild anemia,23.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413022,1413220,Region,Mizoram,0,,0,1,CNANMCCMLD,IADHS2006413022,2005-06,DHS,45,741,,,1
IND,Sikkim,7531932,Children with mild anemia,28.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413024,1413240,Region,Sikkim,0,,0,1,CNANMCCMLD,IADHS2006413024,2005-06,DHS,20,526,,,1
IND,Tripura,3665242,Children with mild anemia,27.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413025,1413250,Region,Tripura,0,,0,1,CNANMCCMLD,IADHS2006413025,2005-06,DHS,136,527,,,1
IND,Goa,3793432,Children with mild anemia,19.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413026,1413260,Region,Goa,0,,0,1,CNANMCCMLD,IADHS2006413026,2005-06,DHS,35,667,,,1
IND,Gujarat,475120,Children with mild anemia,25,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413027,1413270,Region,Gujarat,0,,0,1,CNANMCCMLD,IADHS2006413027,2005-06,DHS,2082,1256,,,1
IND,Maharashtra,4278888,Children with mild anemia,21.9,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413028,1413280,Region,Maharashtra,0,,0,1,CNANMCCMLD,IADHS2006413028,2005-06,DHS,2904,2090,,,1
IND,Andhra Pradesh including Telangana,7622478,Children with mild anemia,23.7,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413029,1413290,Region,Andhra Pradesh including Telangana,0,,0,1,CNANMCCMLD,IADHS2006413029,2005-06,DHS,2375,1695,,,1
IND,Karnataka,1445783,Children with mild anemia,28.6,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413030,1413300,Region,Karnataka,0,,0,1,CNANMCCMLD,IADHS2006413030,2005-06,DHS,1674,1412,,,1
IND,Kerala,6040407,Children with mild anemia,23.5,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413031,1413310,Region,Kerala,0,,0,1,CNANMCCMLD,IADHS2006413031,2005-06,DHS,834,824,,,1
IND,Tamil Nadu,1170784,Children with mild anemia,27.1,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MLD,104466020,I,413032,1413320,Region,Tamil Nadu,0,,0,1,CNANMCCMLD,IADHS2006413032,2005-06,DHS,1786,1440,,,1
IND,New Delhi,6457364,Children with moderate anemia,30,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MOD,104466030,I,413000,1413000,Region,New Delhi,0,,0,1,CNANMCCMOD,IADHS2006413000,2005-06,DHS,258,645,,,1
IND,Haryana,1224709,Children with moderate anemia,42.2,1,IA,India,2006,IA2006DHS,CN_ANMC_C_MOD,104466030,I,413001,1413010,Region,Haryana,0,,0,1,CNANMCCMOD,IADHS2006413001,2005-06,DHS,843,1027,,,1
