state,indicator,value,survey
New Delhi,Number of children under age 5 (unweighted),2154.0,2019-21
Haryana,Number of children under age 5 (unweighted),5258.0,2019-21
Himachal Pradesh,Number of children under age 5 (unweighted),2208.0,2019-21
"Jammu, Kashmir & Ladakh",Number of children under age 5 (unweighted),5407.0,2019-21
Jammu & Kashmir,Number of children under age 5 (unweighted),4962.0,2019-21
Ladakh,Number of children under age 5 (unweighted),445.0,2019-21
Punjab,Number of children under age 5 (unweighted),4268.0,2019-21
Rajasthan,Number of children under age 5 (unweighted),11602.0,2019-21
Madhya Pradesh,Number of children under age 5 (unweighted),12220.0,2019-21
Chhattisgarh,Number of children under age 5 (unweighted),6790.0,2019-21
Uttar Pradesh,Number of children under age 5 (unweighted),26585.0,2019-21
Uttarakhand,Number of children under age 5 (unweighted),2898.0,2019-21
Bihar,Number of children under age 5 (unweighted),16633.0,2019-21
Jharkhand,Number of children under age 5 (unweighted),7841.0,2019-21
Odisha,Number of children under age 5 (unweighted),6940.0,2019-21
West Bengal,Number of children under age 5 (unweighted),4696.0,2019-21
Arunachal Pradesh,Number of children under age 5 (unweighted),4649.0,2019-21
Assam,Number of children under age 5 (unweighted),8763.0,2019-21
Manipur,Number of children under age 5 (unweighted),2764.0,2019-21
Meghalaya,Number of children under age 5 (unweighted),5523.0,2019-21
Mizoram,Number of children under age 5 (unweighted),2054.0,2019-21
Nagaland,Number of children under age 5 (unweighted),2613.0,2019-21
Sikkim,Number of children under age 5 (unweighted),477.0,2019-21
Tripura,Number of children under age 5 (unweighted),1751.0,2019-21
Goa,Number of children under age 5 (unweighted),275.0,2019-21
Gujarat,Number of children under age 5 (unweighted),8086.0,2019-21
Maharashtra,Number of children under age 5 (unweighted),7764.0,2019-21
Andhra Pradesh,Number of children under age 5 (unweighted),2166.0,2019-21
Telangana,Number of children under age 5 (unweighted),5469.0,2019-21
Karnataka,Number of children under age 5 (unweighted),6634.0,2019-21
Kerala,Number of children under age 5 (unweighted),2242.0,2019-21
Tamil Nadu,Number of children under age 5 (unweighted),5348.0,2019-21
Andaman and Nicobar Islands,Number of children under age 5 (unweighted),385.0,2019-21
Chandigarh,Number of children under age 5 (unweighted),128.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of children under age 5 (unweighted),664.0,2019-21
Lakshadweep,Number of children under age 5 (unweighted),220.0,2019-21
Puducherry,Number of children under age 5 (unweighted),641.0,2019-21
New Delhi,Women with any anemia,49.9,2019-21
Haryana,Women with any anemia,60.4,2019-21
Himachal Pradesh,Women with any anemia,53.0,2019-21
"Jammu, Kashmir & Ladakh",Women with any anemia,66.4,2019-21
Jammu & Kashmir,Women with any anemia,65.9,2019-21
Ladakh,Women with any anemia,92.8,2019-21
Punjab,Women with any anemia,58.6,2019-21
Rajasthan,Women with any anemia,54.4,2019-21
Madhya Pradesh,Women with any anemia,54.7,2019-21
Chhattisgarh,Women with any anemia,60.8,2019-21
Uttar Pradesh,Women with any anemia,50.4,2019-21
Uttarakhand,Women with any anemia,42.6,2019-21
Bihar,Women with any anemia,63.5,2019-21
Jharkhand,Women with any anemia,65.3,2019-21
Odisha,Women with any anemia,64.3,2019-21
West Bengal,Women with any anemia,71.4,2019-21
Arunachal Pradesh,Women with any anemia,40.3,2019-21
Assam,Women with any anemia,65.9,2019-21
Manipur,Women with any anemia,29.4,2019-21
Meghalaya,Women with any anemia,53.8,2019-21
Mizoram,Women with any anemia,34.8,2019-21
Nagaland,Women with any anemia,28.9,2019-21
Sikkim,Women with any anemia,41.9,2019-21
Tripura,Women with any anemia,67.2,2019-21
Goa,Women with any anemia,38.9,2019-21
Gujarat,Women with any anemia,65.0,2019-21
Maharashtra,Women with any anemia,54.2,2019-21
Andhra Pradesh,Women with any anemia,58.8,2019-21
Telangana,Women with any anemia,57.6,2019-21
Karnataka,Women with any anemia,47.8,2019-21
Kerala,Women with any anemia,36.3,2019-21
Tamil Nadu,Women with any anemia,53.4,2019-21
Andaman and Nicobar Islands,Women with any anemia,57.5,2019-21
Chandigarh,Women with any anemia,60.3,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Women with any anemia,62.5,2019-21
Lakshadweep,Women with any anemia,25.8,2019-21
Puducherry,Women with any anemia,55.1,2019-21
New Delhi,Women with mild anemia,23.1,2019-21
Haryana,Women with mild anemia,25.1,2019-21
Himachal Pradesh,Women with mild anemia,27.1,2019-21
"Jammu, Kashmir & Ladakh",Women with mild anemia,25.1,2019-21
Jammu & Kashmir,Women with mild anemia,25.3,2019-21
Ladakh,Women with mild anemia,13.5,2019-21
Punjab,Women with mild anemia,24.6,2019-21
Rajasthan,Women with mild anemia,24.1,2019-21
Madhya Pradesh,Women with mild anemia,25.7,2019-21
Chhattisgarh,Women with mild anemia,27.1,2019-21
Uttar Pradesh,Women with mild anemia,24.3,2019-21
Uttarakhand,Women with mild anemia,21.2,2019-21
Bihar,Women with mild anemia,29.7,2019-21
Jharkhand,Women with mild anemia,29.4,2019-21
Odisha,Women with mild anemia,29.0,2019-21
West Bengal,Women with mild anemia,30.1,2019-21
Arunachal Pradesh,Women with mild anemia,22.0,2019-21
Assam,Women with mild anemia,28.8,2019-21
Manipur,Women with mild anemia,18.5,2019-21
Meghalaya,Women with mild anemia,23.6,2019-21
Mizoram,Women with mild anemia,19.5,2019-21
Nagaland,Women with mild anemia,17.9,2019-21
Sikkim,Women with mild anemia,20.2,2019-21
Tripura,Women with mild anemia,30.9,2019-21
Goa,Women with mild anemia,23.2,2019-21
Gujarat,Women with mild anemia,25.9,2019-21
Maharashtra,Women with mild anemia,24.1,2019-21
Andhra Pradesh,Women with mild anemia,25.1,2019-21
Telangana,Women with mild anemia,22.1,2019-21
Karnataka,Women with mild anemia,22.1,2019-21
Kerala,Women with mild anemia,21.0,2019-21
Tamil Nadu,Women with mild anemia,23.9,2019-21
Andaman and Nicobar Islands,Women with mild anemia,26.5,2019-21
Chandigarh,Women with mild anemia,28.2,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Women with mild anemia,29.5,2019-21
Lakshadweep,Women with mild anemia,14.3,2019-21
Puducherry,Women with mild anemia,24.0,2019-21
New Delhi,Women with moderate anemia,24.0,2019-21
Haryana,Women with moderate anemia,31.5,2019-21
Himachal Pradesh,Women with moderate anemia,24.1,2019-21
"Jammu, Kashmir & Ladakh",Women with moderate anemia,38.0,2019-21
Jammu & Kashmir,Women with moderate anemia,37.8,2019-21
Ladakh,Women with moderate anemia,49.9,2019-21
Punjab,Women with moderate anemia,31.1,2019-21
